Site,Block,plot,ANGE,BOGR/BOHI,Forbs,Grass,Woody,Cactus,total-cactus,total
KNZ,A,1,28.84,,7.475,3.765,32.075,,,72.155
KNZ,A,2,29.285,,0.415,8.015,0,,,37.715
KNZ,A,3,12.955,,14.59,11.405,1.04,,,39.99
KNZ,A,4,22.665,,3.625,7.305,0,,,33.595
KNZ,A,5,44.34,,0.325,5.16,0.075,,,49.9
KNZ,A,6,17.9,,1.175,11.81,1.21,,,32.095
KNZ,A,7,19.43,,0.12,9.52,0,,,29.07
KNZ,A,8,33.19,,12.98,0.35,0,,,46.52
KNZ,A,9,26.32,,1.385,3.73,2.655,,,34.09
KNZ,A,10,32.005,,0.595,13.56,23.905,,,70.065
KNZ,B,1,32.43,,8.635,27.73,0,,,68.795
KNZ,B,2,54.985,,0.19,2.77,0,,,57.945
KNZ,B,3,7.35,,10.085,18.825,2.55,,,38.81
KNZ,B,4,17.295,,7.11,24.965,0,,,49.37
KNZ,B,5,13.575,,5.685,9.77,25.79,,,54.82
KNZ,B,6,4.94,,43.995,7.075,10.555,,,66.565
KNZ,B,7,26.2,,5.395,4.42,0,,,36.015
KNZ,B,8,47.555,,3.675,2.005,9.045,,,62.28
KNZ,B,9,52.05,,28.03,0.105,0,,,80.185
KNZ,B,10,69.975,,10.845,0,0,,,80.82
KNZ,C,1,16.785,,11.72,24.58,11.33,,,64.415
KNZ,C,2,23.015,,9.83,16.565,2.36,,,51.77
KNZ,C,3,85.67,,4.365,4.43,0,,,94.465
KNZ,C,4,22.45,,6.305,15.165,2.61,,,46.53
KNZ,C,5,27.085,,0.425,11.76,0,,,39.27
KNZ,C,6,36.725,,0,11.93,0,,,48.655
KNZ,C,7,64.175,,2.745,20.225,0,,,87.145
KNZ,C,8,64.39,,1.06,0,0,,,65.45
KNZ,C,9,57.25,,1.13,0,0,,,58.38
KNZ,C,10,22.72,,5.54,14.5,29.215,,,71.975
SGS,1,1,,13.75,1.9,0.99,,0,16.64,16.64
SGS,1,2,,5.88,1.53,2.86,,0,10.53,10.53
SGS,1,3,,19.59,0,5.12,,0,24.78,24.78
SGS,1,4,,6.64,0.22,8.93,,0,15.79,15.79
SGS,1,5,,3.8,1.14,4.47,,0,10.85,10.85
SGS,1,6,,9.73,1.25,3.78,,0,14.76,14.76
SGS,1,7,,6.09,0.09,5.28,,15.27,11.95,27.22
SGS,1,8,,3.1,0,3.03,,0,6.51,6.51
SGS,1,9,,10.85,0.65,1.64,,0,13.46,13.46
SGS,1,10,,7.89,0,7.63,,0,15.88,15.88
SGS,2,1,,15.27,0,7.73,,0,34.03,34.03
SGS,2,2,,14.84,0,0.94,,0,15.78,15.78
SGS,2,3,,4.02,0,8.16,,0,14.16,14.16
SGS,2,4,,7.05,6.69,1.06,,0,14.97,14.97
SGS,2,5,,11.21,5.64,3.14,,0,20,20
SGS,2,6,,9.25,2.51,0.98,,0,13.21,13.21
SGS,2,7,,6.53,7.89,12.38,,0,26.8,26.8
SGS,2,8,,20.68,0.14,8.58,,0,29.4,29.4
SGS,2,9,,10.5,0.26,9.12,,0,20.51,20.51
SGS,2,10,,14.21,1.02,3.28,,0,18.95,18.95
SGS,3,1,,6.67,2.22,0.93,,0,13.11,13.11
SGS,3,2,,6.72,0.07,4.63,,0,11.42,11.42
SGS,3,3,,13.08,0.05,5.71,,0,18.84,18.84
SGS,3,4,,5.92,0.92,0.69,,0,8.02,8.02
SGS,3,5,,2.4,3.54,7.56,,0,13.5,13.5
SGS,3,6,,12.44,0.32,0.1,,41.56,13.19,54.75
SGS,3,7,,12.97,0,0.25,,0,13.39,13.39
SGS,3,8,,6.78,1.22,7.43,,0,15.84,15.84
SGS,3,9,,6.9,0,8.46,,0,15.36,15.36
SGS,3,10,,1.33,0.01,9.69,,0,12.19,12.19