Site,Block,Plot,INDGRASS,OTHRGRASS,FORBS,MOSS,OLDLITTER,NEWLITTER,TOTAL,TOTALNOLITTER
F,2,1,8.3,19.4,2.9,0,84.4,8.4,123.4,30.6
F,2,2,21,16.9,1.2,0,117.5,5.7,162.3,39.1
F,2,3,39.3,10.1,4.1,0,120,12.7,186.2,53.5
F,2,4,19.6,23.2,0.6,0,162.4,2.6,208.4,43.4
F,2,5,36.9,17.5,0,0,173.4,25.5,253.3,54.4
F,2,6,39.1,8.6,0,0,191.3,14.9,253.9,47.7
F,2,7,39,4.6,9.3,0,13.6,125.6,192.1,52.9
F,2,8,48.9,8.4,7.1,0,83.9,33.7,182,64.4
F,2,9,91.3,19.9,8.1,0,219.1,9.7,348.1,119.3
F,2,10,17.4,9.1,0.1,0,82.1,6.8,115.5,26.6
RT,3,1,52.4,11.8,0.2,0.08,13.6,3,81.08,64.48
RT,3,2,22.8,14.2,0.1,0.04,12.5,3.7,53.34,37.14
RT,3,3,14.5,9.4,0.2,0.03,11.1,4.6,39.83,24.13
RT,3,4,30.4,4.1,3,0.04,8.7,3,49.24,37.54
RT,3,5,31.7,4.3,1.3,0.37,16.6,5,59.27,37.67
RT,3,6,37.7,14,0.3,0.07,20.2,7.3,79.57,52.07
RT,3,7,15.8,14.5,12.3,0.3,14.3,6.1,63.3,42.9
RT,3,8,27.6,13.6,0.5,0.06,18.7,3.9,64.36,41.76
RT,3,9,7.1,17.8,0.5,0.03,8,3.2,36.63,25.43
RT,3,10,35.2,3.4,0.1,0.09,8.8,2.9,50.49,38.79