Date,Block,Plot,Species,%cover ,,,,
23-Jul-14,1,1,Sorghastrum_nutans,30,,,,Block Legend
23-Jul-14,1,1,Andropogon_gerardii,25,,,,1=12mi Prairie Species
23-Jul-14,1,1,Solidago_juncea,0,,,,2= Fults
23-Jul-14,1,1,Pycnanthemum_tenuifolium,20,,,,3= Tamaroa 
23-Jul-14,1,1,Chamaecrista_fasciculata_cassia_fasciculata,5,,,,
23-Jul-14,1,1,Euphorbia_corollata,5,,,,
23-Jul-14,1,1,Vernonia_baldwinii,20,,,,
23-Jul-14,1,1,Elymus_canadensis,5,,,,
23-Jul-14,1,1,Rubus_occidentalis,5,,,,
23-Jul-14,1,1,Ulmus_americana,10,,,,
23-Jul-14,1,1,Dichanthelium_acuminatum ,5,,,,
23-Jul-14,1,1,Fragaria_virginiana,1,,,,
23-Jul-14,1,1,Rosa_carolina,1,,,,
23-Jul-14,1,1,Prunus_serotina ,2,,,,
23-Jul-14,1,1,Galium_pilosum,0,,,,
23-Jul-14,1,1,Acalypha_gracilens,0,,,,
23-Jul-14,1,1,Lonicera_japonica,0,,,,
23-Jul-14,1,1,Helianthus_divaricatus,0,,,,
23-Jul-14,1,1,Lactuca_serriola,0,,,,
23-Jul-14,1,1,Oxalis_stricta,0,,,,
23-Jul-14,1,1,Cyperus_ovularis,0,,,,
23-Jul-14,1,1,Juncus_tenuis,0,,,,
23-Jul-14,1,1,Carex_gravida,0,,,,
23-Jul-14,1,1,Achillea_millefolium,0,,,,
23-Jul-14,1,1,Asclepias_hirtella,0,,,,
23-Jul-14,1,1,Poa_pratensis,0,,,,
23-Jul-14,1,1,Rumex_acetosella,0,,,,
23-Jul-14,1,1,Solanum_carolinense,0,,,,
23-Jul-14,1,1,Asclepias_verticillata,0,,,,
23-Jul-14,1,2,Sorghastrum_nutans,35,,,,
23-Jul-14,1,2,Andropogon_gerardii,20,,,,
23-Jul-14,1,2,Solidago_juncea,1,,,,
23-Jul-14,1,2,Pycnanthemum_tenuifolium,10,,,,
23-Jul-14,1,2,Chamaecrista_fasciculata_cassia_fasciculata,0,,,,
23-Jul-14,1,2,Euphorbia_corollata,5,,,,
23-Jul-14,1,2,Vernonia_baldwinii,0,,,,
23-Jul-14,1,2,Elymus_canadensis,0,,,,
23-Jul-14,1,2,Rubus_occidentalis,10,,,,
23-Jul-14,1,2,Ulmus_americana,0,,,,
23-Jul-14,1,2,Dichanthelium_acuminatum ,5,,,,
23-Jul-14,1,2,Fragaria_virginiana,0,,,,
23-Jul-14,1,2,Rosa_carolina,0,,,,
23-Jul-14,1,2,Prunus_serotina ,0,,,,
23-Jul-14,1,2,Galium_pilosum,5,,,,
23-Jul-14,1,2,Acalypha_gracilens,1,,,,
23-Jul-14,1,2,Lonicera_japonica,10,,,,
23-Jul-14,1,2,Helianthus_divaricatus,10,,,,
23-Jul-14,1,2,Lactuca_serriola,1,,,,
23-Jul-14,1,2,Oxalis_stricta,1,,,,
23-Jul-14,1,2,Cyperus_ovularis,0,,,,
23-Jul-14,1,2,Juncus_tenuis,0,,,,
23-Jul-14,1,2,Carex_gravida,0,,,,
23-Jul-14,1,2,Achillea_millefolium,0,,,,
23-Jul-14,1,2,Asclepias_hirtella,0,,,,
23-Jul-14,1,2,Poa_pratensis,0,,,,
23-Jul-14,1,2,Rumex_acetosella,0,,,,
23-Jul-14,1,2,Solanum_carolinense,0,,,,
23-Jul-14,1,2,Asclepias_verticillata,0,,,,
23-Jul-14,1,3,Sorghastrum_nutans,30,,,,
23-Jul-14,1,3,Andropogon_gerardii,25,,,,
23-Jul-14,1,3,Solidago_juncea,0,,,,
23-Jul-14,1,3,Pycnanthemum_tenuifolium,5,,,,
23-Jul-14,1,3,Chamaecrista_fasciculata_cassia_fasciculata,5,,,,
23-Jul-14,1,3,Euphorbia_corollata,10,,,,
23-Jul-14,1,3,Vernonia_baldwinii,40,,,,
23-Jul-14,1,3,Elymus_canadensis,0,,,,
23-Jul-14,1,3,Rubus_occidentalis,15,,,,
23-Jul-14,1,3,Ulmus_americana,0,,,,
23-Jul-14,1,3,Dichanthelium_acuminatum ,5,,,,
23-Jul-14,1,3,Fragaria_virginiana,10,,,,
23-Jul-14,1,3,Rosa_carolina,0,,,,
23-Jul-14,1,3,Prunus_serotina ,0,,,,
23-Jul-14,1,3,Galium_pilosum,0,,,,
23-Jul-14,1,3,Acalypha_gracilens,0,,,,
23-Jul-14,1,3,Lonicera_japonica,15,,,,
23-Jul-14,1,3,Helianthus_divaricatus,0,,,,
23-Jul-14,1,3,Lactuca_serriola,0,,,,
23-Jul-14,1,3,Oxalis_stricta,0,,,,
23-Jul-14,1,3,Cyperus_ovularis,2,,,,
23-Jul-14,1,3,Juncus_tenuis,1,,,,
23-Jul-14,1,3,Carex_gravida,1,,,,
23-Jul-14,1,3,Achillea_millefolium,0,,,,
23-Jul-14,1,3,Asclepias_hirtella,0,,,,
23-Jul-14,1,3,Poa_pratensis,0,,,,
23-Jul-14,1,3,Rumex_acetosella,0,,,,
23-Jul-14,1,3,Solanum_carolinense,0,,,,
23-Jul-14,1,3,Asclepias_verticillata,0,,,,
23-Jul-14,1,4,Sorghastrum_nutans,60,,,,
23-Jul-14,1,4,Andropogon_gerardii,0,,,,
23-Jul-14,1,4,Solidago_juncea,0,,,,
23-Jul-14,1,4,Pycnanthemum_tenuifolium,0,,,,
23-Jul-14,1,4,Chamaecrista_fasciculata_cassia_fasciculata,0,,,,
23-Jul-14,1,4,Euphorbia_corollata,15,,,,
23-Jul-14,1,4,Vernonia_baldwinii,20,,,,
23-Jul-14,1,4,Elymus_canadensis,10,,,,
23-Jul-14,1,4,Rubus_occidentalis,10,,,,
23-Jul-14,1,4,Ulmus_americana,0,,,,
23-Jul-14,1,4,Dichanthelium_acuminatum ,1,,,,
23-Jul-14,1,4,Fragaria_virginiana,0,,,,
23-Jul-14,1,4,Rosa_carolina,0,,,,
23-Jul-14,1,4,Prunus_serotina ,0,,,,
23-Jul-14,1,4,Galium_pilosum,5,,,,
23-Jul-14,1,4,Acalypha_gracilens,0,,,,
23-Jul-14,1,4,Lonicera_japonica,15,,,,
23-Jul-14,1,4,Helianthus_divaricatus,5,,,,
23-Jul-14,1,4,Lactuca_serriola,0,,,,
23-Jul-14,1,4,Oxalis_stricta,0,,,,
23-Jul-14,1,4,Cyperus_ovularis,0,,,,
23-Jul-14,1,4,Juncus_tenuis,0,,,,
23-Jul-14,1,4,Carex_gravida,0,,,,
23-Jul-14,1,4,Achillea_millefolium,0,,,,
23-Jul-14,1,4,Asclepias_hirtella,0,,,,
23-Jul-14,1,4,Poa_pratensis,0,,,,
23-Jul-14,1,4,Rumex_acetosella,0,,,,
23-Jul-14,1,4,Solanum_carolinense,0,,,,
23-Jul-14,1,4,Asclepias_verticillata,0,,,,
23-Jul-14,1,5,Sorghastrum_nutans,25,,,,
23-Jul-14,1,5,Andropogon_gerardii,25,,,,
23-Jul-14,1,5,Solidago_juncea,5,,,,
23-Jul-14,1,5,Pycnanthemum_tenuifolium,0,,,,
23-Jul-14,1,5,Chamaecrista_fasciculata_cassia_fasciculata,2,,,,
23-Jul-14,1,5,Euphorbia_corollata,0,,,,
23-Jul-14,1,5,Vernonia_baldwinii,0,,,,
23-Jul-14,1,5,Elymus_canadensis,0,,,,
23-Jul-14,1,5,Rubus_occidentalis,0,,,,
23-Jul-14,1,5,Ulmus_americana,0,,,,
23-Jul-14,1,5,Dichanthelium_acuminatum ,5,,,,
23-Jul-14,1,5,Fragaria_virginiana,0,,,,
23-Jul-14,1,5,Rosa_carolina,0,,,,
23-Jul-14,1,5,Prunus_serotina ,0,,,,
23-Jul-14,1,5,Galium_pilosum,0,,,,
23-Jul-14,1,5,Acalypha_gracilens,0,,,,
23-Jul-14,1,5,Lonicera_japonica,0,,,,
23-Jul-14,1,5,Helianthus_divaricatus,20,,,,
23-Jul-14,1,5,Lactuca_serriola,0,,,,
23-Jul-14,1,5,Oxalis_stricta,0,,,,
23-Jul-14,1,5,Cyperus_ovularis,1,,,,
23-Jul-14,1,5,Juncus_tenuis,5,,,,
23-Jul-14,1,5,Carex_gravida,0,,,,
23-Jul-14,1,5,Achillea_millefolium,5,,,,
23-Jul-14,1,5,Asclepias_hirtella,5,,,,
23-Jul-14,1,5,Poa_pratensis,10,,,,
23-Jul-14,1,5,Rumex_acetosella,0,,,,
23-Jul-14,1,5,Solanum_carolinense,0,,,,
23-Jul-14,1,5,Asclepias_verticillata,0,,,,
23-Jul-14,1,6,Sorghastrum_nutans,40,,,,
23-Jul-14,1,6,Andropogon_gerardii,0,,,,
23-Jul-14,1,6,Solidago_juncea,1,,,,
23-Jul-14,1,6,Pycnanthemum_tenuifolium,10,,,,
23-Jul-14,1,6,Chamaecrista_fasciculata_cassia_fasciculata,0,,,,
23-Jul-14,1,6,Euphorbia_corollata,5,,,,
23-Jul-14,1,6,Vernonia_baldwinii,0,,,,
23-Jul-14,1,6,Elymus_canadensis,1,,,,
23-Jul-14,1,6,Rubus_occidentalis,40,,,,
23-Jul-14,1,6,Ulmus_americana,0,,,,
23-Jul-14,1,6,Dichanthelium_acuminatum ,5,,,,
23-Jul-14,1,6,Fragaria_virginiana,0,,,,
23-Jul-14,1,6,Rosa_carolina,0,,,,
23-Jul-14,1,6,Prunus_serotina ,0,,,,
23-Jul-14,1,6,Galium_pilosum,15,,,,
23-Jul-14,1,6,Acalypha_gracilens,0,,,,
23-Jul-14,1,6,Lonicera_japonica,0,,,,
23-Jul-14,1,6,Helianthus_divaricatus,20,,,,
23-Jul-14,1,6,Lactuca_serriola,0,,,,
23-Jul-14,1,6,Oxalis_stricta,0,,,,
23-Jul-14,1,6,Cyperus_ovularis,0,,,,
23-Jul-14,1,6,Juncus_tenuis,0,,,,
23-Jul-14,1,6,Carex_gravida,1,,,,
23-Jul-14,1,6,Achillea_millefolium,0,,,,
23-Jul-14,1,6,Asclepias_hirtella,0,,,,
23-Jul-14,1,6,Poa_pratensis,0,,,,
23-Jul-14,1,6,Rumex_acetosella,2,,,,
23-Jul-14,1,6,Solanum_carolinense,0,,,,
23-Jul-14,1,6,Asclepias_verticillata,0,,,,
23-Jul-14,1,7,Sorghastrum_nutans,20,,,,
23-Jul-14,1,7,Andropogon_gerardii,5,,,,
23-Jul-14,1,7,Solidago_juncea,5,,,,
23-Jul-14,1,7,Pycnanthemum_tenuifolium,15,,,,
23-Jul-14,1,7,Chamaecrista_fasciculata_cassia_fasciculata,5,,,,
23-Jul-14,1,7,Euphorbia_corollata,5,,,,
23-Jul-14,1,7,Vernonia_baldwinii,5,,,,
23-Jul-14,1,7,Elymus_canadensis,0,,,,
23-Jul-14,1,7,Rubus_occidentalis,0,,,,
23-Jul-14,1,7,Ulmus_americana,0,,,,
23-Jul-14,1,7,Dichanthelium_acuminatum ,5,,,,
23-Jul-14,1,7,Fragaria_virginiana,0,,,,
23-Jul-14,1,7,Rosa_carolina,10,,,,
23-Jul-14,1,7,Prunus_serotina ,0,,,,
23-Jul-14,1,7,Galium_pilosum,5,,,,
23-Jul-14,1,7,Acalypha_gracilens,0,,,,
23-Jul-14,1,7,Lonicera_japonica,10,,,,
23-Jul-14,1,7,Helianthus_divaricatus,5,,,,
23-Jul-14,1,7,Lactuca_serriola,0,,,,
23-Jul-14,1,7,Oxalis_stricta,0,,,,
23-Jul-14,1,7,Cyperus_ovularis,0,,,,
23-Jul-14,1,7,Juncus_tenuis,1,,,,
23-Jul-14,1,7,Carex_gravida,0,,,,
23-Jul-14,1,7,Achillea_millefolium,0,,,,
23-Jul-14,1,7,Asclepias_hirtella,0,,,,
23-Jul-14,1,7,Poa_pratensis,0,,,,
23-Jul-14,1,7,Rumex_acetosella,0,,,,
23-Jul-14,1,7,Solanum_carolinense,0,,,,
23-Jul-14,1,7,Asclepias_verticillata,0,,,,
23-Jul-14,1,8,Sorghastrum_nutans,15,,,,
23-Jul-14,1,8,Andropogon_gerardii,15,,,,
23-Jul-14,1,8,Solidago_juncea,20,,,,
23-Jul-14,1,8,Pycnanthemum_tenuifolium,30,,,,
23-Jul-14,1,8,Chamaecrista_fasciculata_cassia_fasciculata,0,,,,
23-Jul-14,1,8,Euphorbia_corollata,5,,,,
23-Jul-14,1,8,Vernonia_baldwinii,0,,,,
23-Jul-14,1,8,Elymus_canadensis,0,,,,
23-Jul-14,1,8,Rubus_occidentalis,10,,,,
23-Jul-14,1,8,Ulmus_americana,0,,,,
23-Jul-14,1,8,Dichanthelium_acuminatum ,0,,,,
23-Jul-14,1,8,Fragaria_virginiana,0,,,,
23-Jul-14,1,8,Rosa_carolina,0,,,,
23-Jul-14,1,8,Prunus_serotina ,0,,,,
23-Jul-14,1,8,Galium_pilosum,0,,,,
23-Jul-14,1,8,Acalypha_gracilens,0,,,,
23-Jul-14,1,8,Lonicera_japonica,5,,,,
23-Jul-14,1,8,Helianthus_divaricatus,0,,,,
23-Jul-14,1,8,Lactuca_serriola,0,,,,
23-Jul-14,1,8,Oxalis_stricta,0,,,,
23-Jul-14,1,8,Cyperus_ovularis,0,,,,
23-Jul-14,1,8,Juncus_tenuis,0,,,,
23-Jul-14,1,8,Carex_gravida,1,,,,
23-Jul-14,1,8,Achillea_millefolium,0,,,,
23-Jul-14,1,8,Asclepias_hirtella,5,,,,
23-Jul-14,1,8,Poa_pratensis,0,,,,
23-Jul-14,1,8,Rumex_acetosella,0,,,,
23-Jul-14,1,8,Solanum_carolinense,1,,,,
23-Jul-14,1,8,Asclepias_verticillata,0,,,,
23-Jul-14,1,9,Sorghastrum_nutans,40,,,,
23-Jul-14,1,9,Andropogon_gerardii,2,,,,
23-Jul-14,1,9,Solidago_juncea,0,,,,
23-Jul-14,1,9,Pycnanthemum_tenuifolium,20,,,,
23-Jul-14,1,9,Chamaecrista_fasciculata_cassia_fasciculata,0,,,,
23-Jul-14,1,9,Euphorbia_corollata,5,,,,
23-Jul-14,1,9,Vernonia_baldwinii,10,,,,
23-Jul-14,1,9,Elymus_canadensis,0,,,,
23-Jul-14,1,9,Rubus_occidentalis,40,,,,
23-Jul-14,1,9,Ulmus_americana,0,,,,
23-Jul-14,1,9,Dichanthelium_acuminatum ,0,,,,
23-Jul-14,1,9,Fragaria_virginiana,0,,,,
23-Jul-14,1,9,Rosa_carolina,0,,,,
23-Jul-14,1,9,Prunus_serotina ,0,,,,
23-Jul-14,1,9,Galium_pilosum,0,,,,
23-Jul-14,1,9,Acalypha_gracilens,0,,,,
23-Jul-14,1,9,Lonicera_japonica,0,,,,
23-Jul-14,1,9,Helianthus_divaricatus,10,,,,
23-Jul-14,1,9,Lactuca_serriola,0,,,,
23-Jul-14,1,9,Oxalis_stricta,0,,,,
23-Jul-14,1,9,Cyperus_ovularis,0,,,,
23-Jul-14,1,9,Juncus_tenuis,0,,,,
23-Jul-14,1,9,Carex_gravida,5,,,,
23-Jul-14,1,9,Achillea_millefolium,5,,,,
23-Jul-14,1,9,Asclepias_hirtella,0,,,,
23-Jul-14,1,9,Poa_pratensis,0,,,,
23-Jul-14,1,9,Rumex_acetosella,0,,,,
23-Jul-14,1,9,Solanum_carolinense,0,,,,
23-Jul-14,1,9,Asclepias_verticillata,0,,,,
23-Jul-14,1,10,Sorghastrum_nutans,30,,,,
23-Jul-14,1,10,Andropogon_gerardii,0,,,,
23-Jul-14,1,10,Solidago_juncea,0,,,,
23-Jul-14,1,10,Pycnanthemum_tenuifolium,0,,,,
23-Jul-14,1,10,Chamaecrista_fasciculata_cassia_fasciculata,5,,,,
23-Jul-14,1,10,Euphorbia_corollata,5,,,,
23-Jul-14,1,10,Vernonia_baldwinii,0,,,,
23-Jul-14,1,10,Elymus_canadensis,1,,,,
23-Jul-14,1,10,Rubus_occidentalis,25,,,,
23-Jul-14,1,10,Ulmus_americana,0,,,,
23-Jul-14,1,10,Dichanthelium_acuminatum ,5,,,,
23-Jul-14,1,10,Fragaria_virginiana,0,,,,
23-Jul-14,1,10,Rosa_carolina,0,,,,
23-Jul-14,1,10,Prunus_serotina ,0,,,,
23-Jul-14,1,10,Galium_pilosum,0,,,,
23-Jul-14,1,10,Acalypha_gracilens,0,,,,
23-Jul-14,1,10,Lonicera_japonica,0,,,,
23-Jul-14,1,10,Helianthus_divaricatus,0,,,,
23-Jul-14,1,10,Lactuca_serriola,0,,,,
23-Jul-14,1,10,Oxalis_stricta,0,,,,
23-Jul-14,1,10,Cyperus_ovularis,0,,,,
23-Jul-14,1,10,Juncus_tenuis,0,,,,
23-Jul-14,1,10,Carex_gravida,1,,,,
23-Jul-14,1,10,Achillea_millefolium,0,,,,
23-Jul-14,1,10,Asclepias_hirtella,0,,,,
23-Jul-14,1,10,Poa_pratensis,5,,,,
23-Jul-14,1,10,Rumex_acetosella,2,,,,
23-Jul-14,1,10,Solanum_carolinense,0,,,,
23-Jul-14,1,10,Asclepias_verticillata,5,,,,
20-Jul-14,2,1,Lespedeza_capitata,5,,,,
20-Jul-14,2,1,Bouteloua_curtipendula,2,,,,
20-Jul-14,2,1,Euphorbia_corollata,6,,,,
20-Jul-14,2,1,Hypericum_ellipticum_sphaerocarpum,5,,,,
20-Jul-14,2,1,Rhus_copallina,0,,,,
20-Jul-14,2,1,Ulmus_americana,5,,,,
20-Jul-14,2,1,Rudbeckia_missouriensis_fulgida,5,,,,
20-Jul-14,2,1,Sorghastrum_nutans,40,,,,
20-Jul-14,2,1,Andropogon_gerardii,25,,,,
20-Jul-14,2,1,Ruellia_humilis,5,,,,
20-Jul-14,2,1,Echinacea_pallida,2,,,,
20-Jul-14,2,1,Panicum_virgatum,1,,,,
20-Jul-14,2,1,Schizachyrium_scoparium,5,,,,
20-Jul-14,2,1,Symphyotrichum_patens,2,,,,
20-Jul-14,2,1,Cornus_drummondii,0,,,,
20-Jul-14,2,1,Lespedeza_repens,0,,,,
20-Jul-14,2,1,Brickellia_eupatorioides,0,,,,
20-Jul-14,2,1,Solidago_speciosa,0,,,,
20-Jul-14,2,1,Carex_gravida,0,,,,
20-Jul-14,2,1,Dichanthelium_acuminatum ,0,,,,
20-Jul-14,2,1,Physalis_virginiana,0,,,,
20-Jul-14,2,1,Lespedeza_virginica,0,,,,
20-Jul-14,2,1,Stenaria_hedyotis_nigricans,0,,,,
20-Jul-14,2,1,Dalea_candida,0,,,,
20-Jul-14,2,1,Carya_glabra,0,,,,
20-Jul-14,2,1,Symphyotrichum_Aster_ericoides,0,,,,
20-Jul-14,2,1,Asclepias_hirtella,0,,,,
20-Jul-14,2,1,Helianthus_divaricatus,0,,,,
20-Jul-14,2,1,Chamaecrista_fasciculata_cassia_fasciculata,0,,,,
20-Jul-14,2,2,Lespedeza_capitata,0,,,,
20-Jul-14,2,2,Bouteloua_curtipendula,1,,,,
20-Jul-14,2,2,Euphorbia_corollata,0,,,,
20-Jul-14,2,2,Hypericum_ellipticum_sphaerocarpum,0,,,,
20-Jul-14,2,2,Rhus_copallina,0,,,,
20-Jul-14,2,2,Ulmus_americana,0,,,,
20-Jul-14,2,2,Rudbeckia_missouriensis_fulgida,1,,,,
20-Jul-14,2,2,Sorghastrum_nutans,35,,,,
20-Jul-14,2,2,Andropogon_gerardii,25,,,,
20-Jul-14,2,2,Ruellia_humilis,1,,,,
20-Jul-14,2,2,Echinacea_pallida,5,,,,
20-Jul-14,2,2,Panicum_virgatum,0,,,,
20-Jul-14,2,2,Schizachyrium_scoparium,5,,,,
20-Jul-14,2,2,Symphyotrichum_patens,1,,,,
20-Jul-14,2,2,Cornus_drummondii,0,,,,
20-Jul-14,2,2,Lespedeza_repens,0,,,,
20-Jul-14,2,2,Brickellia_eupatorioides,0,,,,
20-Jul-14,2,2,Solidago_speciosa,0,,,,
20-Jul-14,2,2,Carex_gravida,0,,,,
20-Jul-14,2,2,Dichanthelium_acuminatum ,0,,,,
20-Jul-14,2,2,Physalis_virginiana,0,,,,
20-Jul-14,2,2,Lespedeza_virginica,0,,,,
20-Jul-14,2,2,Stenaria_hedyotis_nigricans,0,,,,
20-Jul-14,2,2,Dalea_candida,0,,,,
20-Jul-14,2,2,Carya_glabra,0,,,,
20-Jul-14,2,2,Symphyotrichum_Aster_ericoides,0,,,,
20-Jul-14,2,2,Asclepias_hirtella,0,,,,
20-Jul-14,2,2,Helianthus_divaricatus,0,,,,
20-Jul-14,2,2,Chamaecrista_fasciculata_cassia_fasciculata,0,,,,
20-Jul-14,2,3,Lespedeza_capitata,0,,,,
20-Jul-14,2,3,Bouteloua_curtipendula,0,,,,
